my_sea_zone = aae55b

wasteland1 = 9e0142
wasteland2 = d53e4f
wasteland3 = F46D43
wasteland4 = fdae61
wasteland5 = fee08b
wasteland6 = e6f598
wasteland7 = abdda4
wasteland8 = 66c2a5
mountains1 = 5e4fa2
mountains2 = 7056e4
mountains3 = 280ea1
mountains4 = beb2f3
seas1 = 3288bd
seas2 = 0c659b
seas3 = 0a9cf6
seas4 = 64bbf1
seas5 = 194662


#Empire
Kreutzhofen =008600
Geistwald =008100
Boashugel = 127b00
Brenzwald =0c7600
Tierhugel =077000
Michelfurt =026b00
Sonnefurt =0eb400
Hardtenau =006600
Bezauhugel =006100
Mittleresdorf =045100
Lederfeld =005700
Alpirswald =005c00
Bezauwald =0cab00
Geltensumpf =004c00
Kell =004700
Thalfang =004200
Oshausen =003800
Legau =009b00
Hornfeld =003d00
Wusteburg =003300
Wundtwald =002e00
Serrig =002900
Ertigen =002400
Melkenfeld =009300
Hitisau =001f00
Ellhugel =0a1f00
Ziertwald =141f00
Tannhugel =008b00
Merogenfeld =2b1f00
Dietenwald =261f00
Trulben =25c809
Salmhugel =301f00
Nehren =351f00
Salmfahre =18be00
Ostsalmwald =3a1f00
Salmwald =70be82
Geschberg =7abe8c
Auggen =56be69
Lauben =75be87
Kazad_Tark =6bbe7d
Meissen =8fbea1
Kazad_Almon =7fbe91
Schwarzweidesumpf =84be96
Heisenberg =94bea6
Rundstedt =5cbe6e
Oberharrachwald =89be9c
Unterharrachwald =99beab
Harrachhugel =9ebeb0
Allach =61be73
Wurmgrube =a3beb5
Aying =adbebf
Hikend =b2bec4
Moonsen =66be78
Oberhaigenhugel =a8beba
Unterhaigenhugel =bcbecf
Haigenbach =b7bec9
Holswang =1dbe00
Dottrahof =c2bed4
Grissenwald =27a51a
Ambostein =22b905
Schwarzgipfel =2ca51f
Segeldorf =37a529
Wissenburg =22b40a
Khazid_Agruli =46a538
Wissenhugel =3ca52e
Dakarhaus =41a533
Maselwald =31a524
Dotternhugel =4ba53d
Gratz =55a547
Dotternbach =50a542
Dottervorgebirge =22be00
Blood_Keep =5aa54d
Kroning =5fa552
Lenkawald =64a557
Grissenquelle =6aa55c
Lenkahugel =6fa561
Rohrhausen =22aa14
Windisch =22a51a
Hendorf =2caa1f
Gorsumthal =27aa1a
Oberwildenhugel =b97834
Kleinwilden =b47839
Diepolz =be782f
Sexau =af783e
Mecklenburg =9a7848
