LandProvince;SeaZone;x;y;
testprovince1;my_sea_zone;8958;5436;x
Marienburg;rijksmouth;8011;1505;x
Kloosterdam;rijksmouth;8014;1496;x
Salfen;rijksmouth;8000;1482;x
Middelplaat;rijksmouth;8003;1464;x
Vloedwijk;rijkskeel;7999;1447;x
Tobenamedtumble27;rijkskeel;8004;1429;x
Zeemond;oostelijk_kanaal;8007;1407;x
Driftstrand;oostelijk_kanaal;8000;1388
Kaap_Tuinder;oostelijk_kanaal;7988;1375;x
Noordwindhaven;manaanshek;7986;1356;x
Fort_Solace;manaanshek;7990;1341;x
Buitenkaag;rijksmouth;7997;1500;x
Lehmburg;rijksmouth;7992;1482;x
Brakwaterdam;rijksmouth;7991;1463;x
Broekwater;rijkskeel;7981;1439;x
La_Neuferte;rijkskeel;7979;1428;x
Almshoven;westelijk_kanaal;7972;1415;x
Tobenamedtumble14;seaofclaws2;8005;1332;x
Tobenamedtumble11;seaofclaws2;8010;1315;x
Noordwijker;seaofclaws3;8018;1306;x
Tobenamedtumble7;seaofclaws3;8022;1289;x
Tobenamedtumble5;seaofclaws4;8040;1276;x
Hollum;seaofclaws4;8054;1261;x
Aarnau;seaofclaws4;8060;1253;x
Kalkaat;river_reik1;8001;1522;x
Klessen;river_reik1;7994;1524;x
Halsdorf;river_reik1;7995;1536;x
Zandt;river_reik1;8006;1544;x
Zompveen;river_reik1;8000;1528;x
Weteringh;river_reik2;8016;1541;x
Leydenhoven;river_reik2;8024;1553;x
Tobenamedleydenhoven3;river_reik2;8027;1566;x
Scheinfeld;river_reik3;8033;1582;x
Nupstedt;river_reik3;8046;1592;x
Uder;river_reik4;8066;1592;x
Hupstedt;river_reik4;8084;1601;x
